TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
GSW,GSW vs. PHX,10/24/2023,L,48,104,36,101,35.6,10,43,23.3,22,28,78.6,18,31,49,19,11,11,6,23,-4
LAL,LAL @ DEN,10/24/2023,L,48,107,41,90,45.6,10,29,34.5,15,20,75,13,31,44,23,12,5,4,18,-12
PHX,PHX @ GSW,10/24/2023,W,48,108,42,95,44.2,11,33,33.3,13,17,76.5,17,43,60,23,19,5,7,22,4
DEN,DEN vs. LAL,10/24/2023,W,48,119,48,91,52.7,14,34,41.2,9,12,75,9,33,42,29,12,9,6,15,12
MEM,MEM vs. NOP,10/25/2023,L,48,104,38,91,41.8,12,43,27.9,16,20,80,8,29,37,23,13,8,7,19,-7
HOU,HOU @ ORL,10/25/2023,L,48,86,32,79,40.5,12,34,35.3,10,16,62.5,7,24,31,19,19,6,3,24,-30
MIN,MIN @ TOR,10/25/2023,L,48,94,34,100,34,8,31,25.8,18,22,81.8,16,46,62,20,14,8,9,14,-3
ORL,ORL vs. HOU,10/25/2023,W,48,116,42,87,48.3,9,34,26.5,23,26,88.5,17,40,57,19,16,8,6,20,30
BOS,BOS @ NYK,10/25/2023,W,48,108,37,77,48.1,12,39,30.8,22,26,84.6,7,39,46,18,13,6,11,22,4
WAS,WAS @ IND,10/25/2023,L,48,120,44,96,45.8,9,24,37.5,23,29,79.3,11,34,45,28,14,6,9,11,-23
IND,IND vs. WAS,10/25/2023,W,48,143,56,107,52.3,20,43,46.5,11,12,91.7,10,41,51,38,12,10,8,23,23
TOR,TOR vs. MIN,10/25/2023,W,48,97,36,90,40,14,35,40,11,16,68.8,8,39,47,27,14,9,11,18,3
OKC,OKC @ CHI,10/25/2023,W,48,124,45,82,54.9,19,39,48.7,15,18,83.3,5,38,43,30,16,6,4,19,20
NYK,NYK vs. BOS,10/25/2023,L,48,104,36,97,37.1,18,41,43.9,14,26,53.8,17,30,47,24,11,9,0,22,-4
CHI,CHI vs. OKC,10/25/2023,L,48,104,39,94,41.5,12,42,28.6,14,18,77.8,13,29,42,26,13,10,3,16,-20
CHA,CHA vs. ATL,10/25/2023,W,48,116,43,86,50,11,37,29.7,19,26,73.1,12,39,51,34,19,5,3,21,6
SAS,SAS vs. DAL,10/25/2023,L,48,119,46,89,51.7,11,35,31.4,16,22,72.7,9,36,45,33,19,8,5,23,-7
NOP,NOP @ MEM,10/25/2023,W,48,111,40,85,47.1,14,32,43.8,17,22,77.3,11,41,52,22,21,8,5,21,7
DAL,DAL @ SAS,10/25/2023,W,48,126,47,99,47.5,15,47,31.9,17,23,73.9,13,35,48,24,12,6,3,20,7
DET,DET @ MIA,10/25/2023,L,48,102,41,92,44.6,11,32,34.4,9,15,60,17,39,56,28,17,3,13,23,-1
SAC,SAC @ UTA,10/25/2023,W,48,130,47,102,46.1,19,51,37.3,17,20,85,15,30,45,29,12,6,8,25,16
UTA,UTA vs. SAC,10/25/2023,L,48,114,41,91,45.1,9,28,32.1,23,31,74.2,16,38,54,22,14,6,2,20,-16
BKN,BKN vs. CLE,10/25/2023,L,48,113,42,84,50,9,27,33.3,20,26,76.9,13,37,50,30,18,6,6,16,-1
POR,POR @ LAC,10/25/2023,L,48,111,44,93,47.3,10,32,31.3,13,17,76.5,15,25,40,20,18,10,4,20,-12
ATL,ATL @ CHA,10/25/2023,L,48,110,39,93,41.9,5,29,17.2,27,33,81.8,12,30,42,24,12,12,1,19,-6
CLE,CLE @ BKN,10/25/2023,W,48,114,44,94,46.8,17,43,39.5,9,10,90,9,29,38,25,10,10,6,23,1
LAC,LAC vs. POR,10/25/2023,W,48,123,47,90,52.2,16,34,47.1,13,16,81.3,14,31,45,36,18,11,7,20,12
MIA,MIA vs. DET,10/25/2023,W,48,103,37,92,40.2,8,22,36.4,21,26,80.8,16,32,48,22,7,11,3,18,1
MIL,MIL vs. PHI,10/26/2023,W,48,118,41,81,50.6,11,30,36.7,25,36,69.4,8,35,43,20,14,9,4,23,1
PHX,PHX @ LAL,10/26/2023,L,48,95,34,81,42,9,31,29,18,23,78.3,10,39,49,16,24,7,3,21,-5
PHI,PHI @ MIL,10/26/2023,L,48,117,41,80,51.3,16,35,45.7,19,28,67.9,4,35,39,25,15,8,4,28,-1
LAL,LAL vs. PHX,10/26/2023,W,48,100,36,84,42.9,5,29,17.2,23,29,79.3,8,34,42,24,16,14,7,23,5
LAC,LAC @ UTA,10/27/2023,L,48,118,41,77,53.2,14,35,40,22,28,78.6,6,30,36,17,16,8,6,22,-2
CLE,CLE vs. OKC,10/27/2023,L,48,105,38,92,41.3,12,45,26.7,17,23,73.9,8,40,48,20,14,10,8,16,-3
MEM,MEM vs. DEN,10/27/2023,L,48,104,37,84,44,10,33,30.3,20,24,83.3,13,35,48,22,21,13,7,23,-4
TOR,TOR @ CHI,10/27/2023,L,53,103,39,84,46.4,9,36,25,16,25,64,8,45,53,25,23,5,2,29,-1
HOU,HOU @ SAS,10/27/2023,L,53,122,52,100,52,8,32,25,10,20,50,11,32,43,30,18,7,2,26,-4
POR,POR vs. ORL,10/27/2023,L,48,97,35,88,39.8,9,32,28.1,18,21,85.7,15,32,47,15,16,6,1,24,-5
BKN,BKN @ DAL,10/27/2023,L,48,120,45,92,48.9,21,43,48.8,9,10,90,10,37,47,30,16,5,4,28,-5
DET,DET @ CHA,10/27/2023,W,48,111,40,88,45.5,10,30,33.3,21,25,84,12,41,53,28,24,7,6,29,12
DEN,DEN @ MEM,10/27/2023,W,48,108,41,88,46.6,14,37,37.8,12,18,66.7,6,33,39,27,19,11,9,18,4
ATL,ATL vs. NYK,10/27/2023,L,48,120,42,87,48.3,12,32,37.5,24,30,80,9,35,44,28,14,7,6,20,-6
SAS,SAS vs. HOU,10/27/2023,W,53,126,46,94,48.9,13,42,31,21,28,75,12,31,43,32,18,11,4,17,4
CHA,CHA vs. DET,10/27/2023,L,48,99,33,88,37.5,7,28,25,26,34,76.5,11,30,41,20,18,13,7,23,-12
SAC,SAC vs. GSW,10/27/2023,L,48,114,41,94,43.6,12,40,30,20,29,69,10,31,41,24,14,10,3,16,-8
CHI,CHI vs. TOR,10/27/2023,W,53,104,37,99,37.4,8,39,20.5,22,28,78.6,15,37,52,18,17,10,5,22,1
UTA,UTA vs. LAC,10/27/2023,W,48,120,42,96,43.8,16,41,39,20,22,90.9,17,28,45,27,14,7,4,24,2
MIA,MIA @ BOS,10/27/2023,L,48,111,38,89,42.7,16,33,48.5,19,23,82.6,11,34,45,24,12,8,6,16,-8
GSW,GSW @ SAC,10/27/2023,W,48,122,48,87,55.2,14,32,43.8,12,14,85.7,7,32,39,32,19,14,3,24,8
BOS,BOS vs. MIA,10/27/2023,W,48,119,45,95,47.4,16,39,41,13,19,68.4,16,39,55,20,15,7,6,19,8
ORL,ORL @ POR,10/27/2023,W,48,102,36,79,45.6,9,28,32.1,21,32,65.6,10,35,45,22,14,10,5,16,5
OKC,OKC @ CLE,10/27/2023,W,48,108,40,87,46,13,26,50,15,19,78.9,6,41,47,22,18,8,10,17,3
DAL,DAL vs. BKN,10/27/2023,W,48,125,44,91,48.4,15,36,41.7,22,28,78.6,8,32,40,20,9,5,2,15,5
NYK,NYK @ ATL,10/27/2023,W,48,126,43,90,47.8,20,44,45.5,20,28,71.4,12,33,45,30,16,9,6,21,6
UTA,UTA @ PHX,10/28/2023,L,48,104,40,91,44,12,37,32.4,12,14,85.7,15,30,45,26,19,6,5,20,-22
PHX,PHX vs. UTA,10/28/2023,W,48,126,45,85,52.9,10,37,27,26,28,92.9,7,32,39,31,11,10,7,19,22
NYK,NYK @ NOP,10/28/2023,L,48,87,33,90,36.7,7,37,18.9,14,18,77.8,16,43,59,19,19,7,3,17,-9
WAS,WAS vs. MEM,10/28/2023,W,48,113,40,93,43,16,46,34.8,17,22,77.3,11,34,45,25,12,9,5,15,7
PHI,PHI @ TOR,10/28/2023,W,48,114,43,86,50,10,28,35.7,18,21,85.7,9,33,42,25,11,8,7,18,7
MIN,MIN vs. MIA,10/28/2023,W,48,106,44,86,51.2,12,34,35.3,6,8,75,7,40,47,30,16,9,3,17,16
TOR,TOR vs. PHI,10/28/2023,L,48,107,38,87,43.7,17,32,53.1,14,19,73.7,13,28,41,28,13,5,5,19,-7
NOP,NOP vs. NYK,10/28/2023,W,48,96,40,87,46,9,33,27.3,7,16,43.8,4,39,43,20,13,8,5,22,9
MEM,MEM @ WAS,10/28/2023,L,48,106,39,91,42.9,19,47,40.4,9,9,100,6,39,45,27,18,7,8,21,-7
IND,IND @ CLE,10/28/2023,W,48,125,48,98,49,15,38,39.5,14,17,82.4,11,37,48,36,8,3,4,20,12
MIA,MIA @ MIN,10/28/2023,L,48,90,35,87,40.2,12,38,31.6,8,14,57.1,9,33,42,24,15,6,1,12,-16
CHI,CHI @ DET,10/28/2023,L,48,102,39,93,41.9,11,28,39.3,13,16,81.3,13,20,33,16,8,10,5,20,-16
CLE,CLE vs. IND,10/28/2023,L,48,113,43,100,43,12,31,38.7,15,24,62.5,19,33,52,29,7,2,6,16,-12
DET,DET vs. CHI,10/28/2023,W,48,118,45,86,52.3,12,28,42.9,16,20,80,15,38,53,29,17,4,4,18,16
LAL,LAL @ SAC,10/29/2023,L,53,127,43,98,43.9,15,45,33.3,26,34,76.5,8,45,53,27,12,4,4,22,-5
HOU,HOU vs. GSW,10/29/2023,L,48,95,34,90,37.8,9,33,27.3,18,19,94.7,10,32,42,22,7,7,4,20,-11
MIL,MIL vs. ATL,10/29/2023,L,48,110,39,86,45.3,16,44,36.4,16,20,80,12,27,39,22,23,10,3,22,-17
GSW,GSW @ HOU,10/29/2023,W,48,106,35,81,43.2,18,45,40,18,23,78.3,8,41,49,27,14,6,6,18,11
ATL,ATL @ MIL,10/29/2023,W,48,127,47,93,50.5,15,37,40.5,18,22,81.8,13,33,46,32,17,15,2,17,17
SAC,SAC vs. LAL,10/29/2023,W,53,132,49,104,47.1,17,48,35.4,17,24,70.8,6,41,47,30,10,6,7,28,5
PHI,PHI vs. POR,10/29/2023,W,48,126,40,82,48.8,11,28,39.3,35,40,87.5,11,40,51,28,16,10,17,20,28
POR,POR @ PHI,10/29/2023,L,48,98,36,94,38.3,7,31,22.6,19,22,86.4,14,28,42,19,16,10,9,26,-28
OKC,OKC vs. DEN,10/29/2023,L,48,95,37,90,41.1,6,32,18.8,15,18,83.3,7,22,29,22,10,8,4,14,-33
DEN,DEN @ OKC,10/29/2023,W,48,128,53,88,60.2,11,27,40.7,11,13,84.6,10,38,48,34,13,8,5,21,33
SAS,SAS @ LAC,10/29/2023,L,48,83,30,80,37.5,11,33,33.3,12,16,75,6,31,37,21,25,9,6,23,-40
LAC,LAC vs. SAS,10/29/2023,W,48,123,47,91,51.6,16,42,38.1,13,21,61.9,9,39,48,23,16,15,5,16,40
DAL,DAL @ MEM,10/30/2023,W,48,125,42,84,50,23,47,48.9,18,24,75,6,42,48,24,15,4,7,17,15
ATL,ATL vs. MIN,10/30/2023,W,48,127,48,86,55.8,14,30,46.7,17,18,94.4,4,32,36,28,11,6,7,12,14
BKN,BKN @ CHA,10/30/2023,W,48,133,49,87,56.3,12,33,36.4,23,32,71.9,10,36,46,25,14,4,8,19,12
OKC,OKC vs. DET,10/30/2023,W,48,124,44,83,53,13,29,44.8,23,28,82.1,6,38,44,21,15,9,10,19,12
MEM,MEM vs. DAL,10/30/2023,L,48,110,42,92,45.7,14,37,37.8,12,20,60,10,34,44,22,12,9,4,22,-15
MIN,MIN @ ATL,10/30/2023,L,48,113,44,90,48.9,16,33,48.5,9,15,60,10,28,38,24,14,5,5,17,-14
DET,DET @ OKC,10/30/2023,L,48,112,39,91,42.9,15,28,53.6,19,24,79.2,13,28,41,31,17,6,5,25,-12
CHA,CHA vs. BKN,10/30/2023,L,48,121,47,96,49,8,31,25.8,19,20,95,8,31,39,33,10,8,5,23,-12
WAS,WAS vs. BOS,10/30/2023,L,48,107,39,87,44.8,11,36,30.6,18,26,69.2,11,29,40,26,15,12,4,13,-19
BOS,BOS @ WAS,10/30/2023,W,48,126,51,102,50,19,53,35.8,5,7,71.4,15,36,51,31,18,11,6,21,19
POR,POR @ TOR,10/30/2023,W,48,99,38,85,44.7,11,35,31.4,12,15,80,13,38,51,20,16,6,7,19,8
ORL,ORL @ LAL,10/30/2023,L,48,103,38,95,40,14,35,40,13,18,72.2,12,32,44,28,11,10,3,22,-3
MIL,MIL vs. MIA,10/30/2023,W,48,122,44,87,50.6,12,37,32.4,22,30,73.3,9,34,43,24,15,8,5,23,8
CHI,CHI @ IND,10/30/2023,W,48,112,40,87,46,6,17,35.3,26,31,83.9,10,34,44,19,13,8,6,17,7
MIA,MIA @ MIL,10/30/2023,L,48,114,41,86,47.7,13,34,38.2,19,20,95,7,33,40,27,15,7,2,20,-8
GSW,GSW @ NOP,10/30/2023,W,48,130,51,98,52,15,41,36.6,13,20,65,21,43,64,28,15,6,7,21,28
NOP,NOP vs. GSW,10/30/2023,L,48,102,38,93,40.9,10,39,25.6,16,26,61.5,14,25,39,23,11,8,3,18,-28
UTA,UTA @ DEN,10/30/2023,L,48,102,42,98,42.9,11,37,29.7,7,15,46.7,17,34,51,30,13,6,2,21,-8
TOR,TOR vs. POR,10/30/2023,L,48,91,38,94,40.4,4,29,13.8,11,15,73.3,14,33,47,19,12,10,4,17,-8
DEN,DEN vs. UTA,10/30/2023,W,48,110,47,84,56,9,28,32.1,7,17,41.2,7,36,43,32,13,4,8,14,8
IND,IND vs. CHI,10/30/2023,L,48,105,36,88,40.9,12,46,26.1,21,25,84,11,36,47,26,17,7,5,24,-7
LAL,LAL vs. ORL,10/30/2023,W,48,106,42,79,53.2,8,27,29.6,14,18,77.8,3,37,40,28,16,7,10,17,3
PHX,PHX vs. SAS,10/31/2023,L,48,114,42,83,50.6,18,39,46.2,12,15,80,6,37,43,29,19,8,7,18,-1
ORL,ORL @ LAC,10/31/2023,L,48,102,38,81,46.9,7,30,23.3,19,33,57.6,7,33,40,23,16,9,3,24,-16
LAC,LAC vs. ORL,10/31/2023,W,48,118,44,89,49.4,14,31,45.2,16,23,69.6,9,35,44,29,16,10,4,26,16
SAS,SAS @ PHX,10/31/2023,W,48,115,43,92,46.7,14,37,37.8,15,20,75,8,29,37,25,12,10,9,17,1
CLE,CLE vs. NYK,10/31/2023,L,48,91,36,92,39.1,10,38,26.3,9,12,75,14,32,46,19,15,6,6,19,-18
NYK,NYK @ CLE,10/31/2023,W,48,109,38,86,44.2,13,34,38.2,20,25,80,12,36,48,18,14,9,1,17,18
NYK,NYK vs. CLE,11/1/2023,L,48,89,32,92,34.8,5,30,16.7,20,30,66.7,16,34,50,18,14,10,3,16,-6
LAC,LAC @ LAL,11/1/2023,L,53,125,47,99,47.5,14,34,41.2,17,27,63,12,34,46,22,13,12,1,31,-5
OKC,OKC vs. NOP,11/1/2023,L,48,106,38,88,43.2,7,34,20.6,23,25,92,6,43,49,23,15,6,5,24,-4
MIL,MIL @ TOR,11/1/2023,L,48,111,35,76,46.1,13,34,38.2,28,38,73.7,7,22,29,19,12,9,2,17,-19
CHI,CHI @ DAL,11/1/2023,L,48,105,42,89,47.2,11,33,33.3,10,11,90.9,12,31,43,19,13,10,3,23,-9
DET,DET vs. POR,11/1/2023,L,48,101,40,90,44.4,11,29,37.9,10,11,90.9,6,32,38,24,18,12,4,31,-9
DEN,DEN @ MIN,11/1/2023,L,48,89,38,96,39.6,6,33,18.2,7,10,70,12,31,43,23,16,6,10,22,-21
MIA,MIA vs. BKN,11/1/2023,L,48,105,39,91,42.9,13,38,34.2,14,18,77.8,11,35,46,22,18,10,5,20,-4
MEM,MEM @ UTA,11/1/2023,L,48,109,35,96,36.5,14,54,25.9,25,32,78.1,14,28,42,25,16,12,7,22,-24
WAS,WAS @ ATL,11/1/2023,L,48,121,51,101,50.5,10,40,25,9,14,64.3,6,29,35,32,11,14,3,25,-9
CHA,CHA @ HOU,11/1/2023,L,48,119,45,90,50,11,27,40.7,18,25,72,15,29,44,21,16,9,8,19,-9
BOS,BOS vs. IND,11/1/2023,W,48,155,54,95,56.8,20,35,57.1,27,28,96.4,11,46,57,27,13,5,2,19,51
IND,IND @ BOS,11/1/2023,L,48,104,46,101,45.5,5,37,13.5,7,12,58.3,8,23,31,26,9,6,6,20,-51
NOP,NOP @ OKC,11/1/2023,W,48,110,40,102,39.2,13,42,31,17,29,58.6,22,36,58,23,11,8,5,20,4
BKN,BKN @ MIA,11/1/2023,W,48,109,37,82,45.1,16,36,44.4,19,26,73.1,7,40,47,27,18,11,4,18,4
LAL,LAL vs. LAC,11/1/2023,W,53,130,46,90,51.1,11,32,34.4,27,36,75,9,42,51,28,14,10,9,24,5
CLE,CLE @ NYK,11/1/2023,W,48,95,32,74,43.2,12,32,37.5,19,20,95,6,40,46,22,18,7,5,27,6
POR,POR @ DET,11/1/2023,W,48,110,38,81,46.9,7,20,35,27,33,81.8,7,37,44,23,17,10,7,15,9
HOU,HOU vs. CHA,11/1/2023,W,48,128,44,84,52.4,21,37,56.8,19,23,82.6,7,31,38,35,17,10,2,22,9
ATL,ATL vs. WAS,11/1/2023,W,48,130,46,92,50,9,32,28.1,29,32,90.6,14,43,57,26,21,8,3,16,9
DAL,DAL vs. CHI,11/1/2023,W,48,114,37,81,45.7,20,48,41.7,20,28,71.4,13,32,45,23,15,7,2,11,9
GSW,GSW vs. SAC,11/1/2023,W,48,102,39,81,48.1,11,31,35.5,13,15,86.7,7,29,36,32,18,5,6,17,1
SAC,SAC @ GSW,11/1/2023,L,48,101,36,88,40.9,11,35,31.4,18,23,78.3,14,34,48,24,15,8,4,17,-1
TOR,TOR vs. MIL,11/1/2023,W,48,130,51,91,56,15,38,39.5,13,14,92.9,15,35,50,35,18,7,6,25,19
MIN,MIN vs. DEN,11/1/2023,W,48,110,38,83,45.8,8,21,38.1,26,27,96.3,8,39,47,20,14,9,5,15,21
UTA,UTA vs. MEM,11/1/2023,W,48,133,47,87,54,22,43,51.2,17,24,70.8,10,40,50,35,21,7,3,22,24
TOR,TOR @ PHI,11/2/2023,L,48,99,38,79,48.1,10,28,35.7,13,19,68.4,9,32,41,30,19,4,3,20,-15
SAS,SAS @ PHX,11/2/2023,W,48,132,51,98,52,18,37,48.6,12,13,92.3,9,32,41,37,8,7,5,21,11
PHI,PHI vs. TOR,11/2/2023,W,48,114,42,92,45.7,9,25,36,21,25,84,15,31,46,21,14,12,3,19,15
ORL,ORL @ UTA,11/2/2023,W,48,115,39,85,45.9,10,29,34.5,27,36,75,10,33,43,27,17,17,9,25,2
NOP,NOP vs. DET,11/2/2023,W,48,125,39,80,48.8,14,32,43.8,33,35,94.3,7,29,36,27,12,5,7,18,9
PHX,PHX vs. SAS,11/2/2023,L,48,121,43,80,53.8,16,32,50,19,26,73.1,5,29,34,26,14,5,4,15,-11
UTA,UTA vs. ORL,11/2/2023,L,48,113,41,89,46.1,12,33,36.4,19,26,73.1,13,35,48,27,20,9,7,27,-2
DET,DET @ NOP,11/2/2023,L,48,116,41,94,43.6,13,38,34.2,21,26,80.8,19,29,48,30,16,4,5,31,-9
OKC,OKC vs. GSW,11/3/2023,L,48,139,50,83,60.2,15,29,51.7,24,30,80,7,25,32,26,19,3,1,20,-2
CHI,CHI vs. BKN,11/3/2023,L,48,107,43,89,48.3,11,28,39.3,10,14,71.4,9,33,42,21,10,4,4,13,-2
MEM,MEM @ POR,11/3/2023,L,53,113,47,96,49,10,35,28.6,9,13,69.2,7,41,48,29,17,8,10,25,-2
CLE,CLE @ IND,11/3/2023,L,48,116,44,84,52.4,8,28,28.6,20,25,80,5,30,35,27,13,10,9,20,-5
